X1,X2,X3,X4,X5,val-esp
-3.3,0.18,-2.64,2.52,4.51,17.822452031999998
-2.46,0.75,3.7,0.92,-0.54,3.3914052000000003
-1.93,-2.99,3.42,0.58,-3.4,-38.918985768
-2.37,-2.58,-3.25,2.58,0.46,-23.584623660000002
1.6,-1.28,-1.07,4.34,-0.35,-3.32867584
1.26,-0.16,1.31,-2.27,-4.59,-2.7516954528
-2.11,-3.76,1.98,0.7,-3.45,-37.93609512
-0.81,3.36,-0.05,-3.66,4.02,-2.0021722559999997
1.59,2.65,-4.51,3.25,1.18,-72.876063975
4.12,0.69,-0.65,1.92,2.77,-9.827445888
-0.93,2.81,3.38,-4.15,0.16,5.865081456000001
-3.04,4.45,0.6,-4.65,-0.83,-31.326789599999998
2.27,-2.53,-0.24,-3.06,0.85,-3.5850727439999996
4.08,-1.46,-3.76,3.9,-1.52,-132.772783104
2.26,-1.64,4.58,1.35,-0.53,12.145835736
-1.51,3.5,2.85,3.91,0.88,-51.82618980000001
-4.83,-2.84,0.75,-1.28,-4.67,61.496951040000006
0.09,2.82,-4.77,0.43,2.85,-1.4836221629999997
4.08,-1.82,0.5,0.58,2.82,-6.072655679999999
-4.05,-4.9,1.69,4.52,4.97,753.4121704199999
-2.73,-3.18,-3.36,4.68,-3.64,496.90833454079996
-4.95,1.72,3.19,-2.55,-3.88,-268.71767603999996
0.27,0.02,-4.3,-1.94,-2.95,-0.13288806
1.03,4.86,-4.76,0.31,-3.18,23.489255966400002
0.47,-1.89,3.5,-3.39,-3.94,-41.526337229999996
1.89,-3.36,4.38,-2.67,3.55,263.6421268319999
-3.22,-2.42,-3.92,-1.21,-4.78,-176.67315783040002
-3.75,-3.8,4.15,1.05,-2.6,-161.445375
2.76,-4.13,2.0,-3.78,-3.72,-320.57073216
-3.38,0.23,-2.65,2.48,-2.87,-14.663038936
-1.9,-2.5,2.69,-1.54,-4.51,88.7448485
-0.45,-4.62,-1.05,3.22,-1.47,10.332775530000001
1.77,-0.82,3.53,2.28,0.84,-9.8124161184
1.89,-3.71,3.96,-4.91,-1.87,-254.94940243079998
-0.19,3.11,-0.74,4.69,0.72,1.4765598288
3.66,-3.44,4.64,-3.13,4.79,875.8653779711999
-4.22,-1.53,2.57,-1.24,-4.01,82.50933044879999
-2.31,-3.02,-2.86,-1.64,-4.3,-140.70102446399997
-0.24,3.91,-0.68,3.2,1.71,3.491748864
-1.31,-3.2,-1.97,0.17,2.79,-3.9168832320000004
1.05,-0.31,4.75,-0.54,0.65,0.542689875
-3.29,-1.96,-2.09,-3.59,4.62,223.5294139848
2.78,4.89,3.77,-4.93,-2.74,692.2970600988
-3.63,-1.11,-3.21,-4.07,-4.79,-252.15324345090002
1.16,-0.08,-2.33,3.86,0.32,0.2670798848
3.01,-2.76,2.78,-4.0,-0.25,-23.095127999999995
3.83,3.96,0.67,-0.16,2.86,-4.6500195456
0.11,-2.58,-3.44,-3.93,-1.78,6.8294131488000005
1.38,-3.85,1.12,3.17,-2.71,51.119475792
-3.18,0.12,-3.54,-0.0,3.85,-0.0
